Número do processo - SIPAC/SIGAA,Título da atividade,Nome do (a) Coordenador (a) da atividade,Local de lotação do (a) Coordenador (a),Data de início da atividade,Data de termino da atividade,Relatório Final,Receita (Prevista),Receita (Realizada)
PJ123-2024,Nivelamento Básico de Língua Inglesa I,ANDREA APARECIDA DA COSTA MINEIRO,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,26/03/24,15/07/24,ATIVIDADE EM EXECUÇÃO,"R$0,00",
PJ124-2024,"Empoderamento Negro: Promoção da representatividade usando memórias, criações e personalidades",ANA PAULA DE PAIVA PEREIRA,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,01/04/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$11.200,00",
PJ125-2024,Podcast “Nós da Pós”,JOSIANE PALMA LIMA,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,01/04/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$11.200,00",
PJ126-2024,Treino OBMEP Terceiro Nível 2024,RICK ANTONIO RISCHTER,INSTITUTO DE MATEMÁTICA E COMPUTACÃO,01/04/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$0,00",
PJ127-2024,UNIFEI JR - Implantação do processo de Planejamento e Controla de Produção em uma cervejaria da cidade de Itajubá,FABIO FAVARETTO,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,04/04/24,02/05/24,SIM,"R$0,00",
PJ128-2024,CENTRO DE ESTUDANTES VOLUNTÁRIOS AMIGOS DE ITAJUBÁ-CEVAI (ORGANIZAÇÃO NÃO GOVERNAMENTAL.,LUIZ EUGENIO VENEZIANI PASIN,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,01/04/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$0,00",
PJ129-2024,Maker Space projetos & prestação de serviços,MATHEUS BRENDON FRANCISCO,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,02/04/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$20.625,00",
PJ130-2024,UNIFEI JR - Desenvolvimento de controle financeiro para empresa de produção de cogumelos,FABIO FAVARETTO,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,08/04/24,06/05/24,SIM,"R$0,00",
PJ131-2024,UNIFEI JR. - Desenvolvimento de proposta de arranjo físico para restaurante,FABIO FAVARETTO,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,08/04/24,06/05/24,SIM,"R$0,00",
PJ132-2024,UNIFEI JR. - SUporte à gestão financeira de uma hamburgueria,FABIO FAVARETTO,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,08/04/24,06/05/24,SIM,"R$0,00",
PJ133-2024,Aliança professor-pesquisador para a investigação da aprendizagem matemática - APPIAM,FLAVIA SUELI FABIANI MARCATTO,INSTITUTO DE MATEMÁTICA E COMPUTACÃO,10/04/24,26/12/24,ATIVIDADE EM EXECUÇÃO,"R$0,00",
PJ134-2024,Clube de Leitura “Os Casmurros”,ANDRE PEREIRA FEITOSA,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,25/04/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$0,00",
PJ135-2024,Hibridização de UTE a diesel com módulos fotovoltaicos e baterias,CARLOS ROBERTO ROCHA,INSTITUTO DE RECURSOS NATURAIS,01/04/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$63.423,00",
PJ136-2024,Dê Voz: A Sua Arte,GLAUBER ZERBINI COSTAL,DIRETORIA DO CAMPUS DE ITABIRA,01/04/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$11.200,00",
PJ137-2024,Krakens UNIFEI,HUGO PERAZZINI,INSTITUTO DE RECURSOS NATURAIS,16/04/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$84.662,63",
PJ138-2024,VOLTK eRACING TEAM,ELCIO FRANKLIN DE ARRUDA,INSTITUTO DE CIÊNCIAS TECNOLÓGICAS,16/04/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$11.000,00",
PJ139-2024,WRECKING BALL COMPETIÇÕES EM CONCRETO,VALQUIRIA CLARET DOS SANTOS,INSTITUTO DE RECURSOS NATURAIS,16/04/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$11.200,08",
PJ140-2024,Beyond Satélites (BS),ADHIMAR FLAVIO OLIVEIRA,INSTITUTO DE FÍSICA E QUÍMICA,16/04/24,13/12/24,ATIVIDADE EM EXECUÇÃO,"R$11.200,00",
PJ141-2024,Desenvolvimento de veículos aéreos não tripulados autônomos,BRUNO GUAZZELLI BATISTA,INSTITUTO DE MATEMÁTICA E COMPUTACÃO,15/04/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$10.000,00",
PJ142-2024,Cidadão 4.0,ALAN BENDASOLI PAVAN,INSTITUTO DE FÍSICA E QUÍMICA,13/04/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$0,00",
PJ143-2024,Forró de Segunda,MARILIA SONEGO,INSTITUTO DE ENGENHARIA MECÂNICA,22/04/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$0,00",
PJ144-2024,UNIFEI Projetos e Consultoria Júnior,ISABELA MAGANHA,INSTITUTO DE ENGENHARIAS INTEGRADAS,15/04/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$0,00",
PJ145-2024,UNIFEI JR. - Implantação da Metodologia 5S em um restaurante,FABIO FAVARETTO,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,12/04/24,10/05/24,SIM,"R$0,00",
PJ146-2024,UNIFEI JR. - Controle de inventário de um restaurante,FABIO FAVARETTO,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,12/04/24,10/05/24,SIM,"R$0,00",
PJ147-2024,UNIFEI JR. - Avaliação do valor dos ativos de um restaurante.,FABIO FAVARETTO,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,12/04/24,10/05/24,SIM,"R$0,00",
PJ148-2024,ComCiências dos fazeres: na contramão da escravidão moderna,CLAUDIO ERNANI MARTINS OLIVEIRA,DIRETORIA DO CAMPUS DE ITABIRA,15/04/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$10.479,00",
PJ149-2024,Bateria Danada,PAULO HENRIQUE DA SILVA CAMPOS,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,17/04/24,20/12/24,ATIVIDADE EM EXECUÇÃO,"R$0,00",
PJ150-2024,TIME ENACTUS UNIFEI ITAJUBÁ,LUIZ EUGENIO VENEZIANI PASIN,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,22/04/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$0,00",
PJ151-2024,Levantamento e diagnóstico das trincas da Igreja Matriz da Paróquia São Benedito de Itajubá/MG,ADINELE GOMES GUIMARAES,INSTITUTO DE RECURSOS NATURAIS,02/05/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$0,00",
PJ152-2024,Matemática em Foco,FLÁVIA DA SILVA CORDEIRO,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,26/04/24,16/12/24,ATIVIDADE EM EXECUÇÃO,"R$0,00",
PJ153-2024,I Programa de Preceptoria para Dermatologistas Latino-Americanos,MARCELO DE PAULA CORREA,INSTITUTO DE RECURSOS NATURAIS,13/05/24,17/05/24,SIM,"R$4.000,00","R$4.000,00"
PJ154-2024,Projeto de um Sistema de Aquisição de Dados e Controle para Ensaios de Eficiência Energética em Ar Condicionados - Turma 01,JEREMIAS BARBOSA MACHADO,INSTITUTO DE ENGENHARIA DE SISTEMAS E TECNOLOGIA DA INFORMAÇÃO,26/04/24,12/07/24,PENDENTE,"R$0,00",
PJ155-2024,Projeto de um Sistema de Aquisição de Dados e Controle para Ensaios de Eficiência Energética em Ar Condicionados,LUIZ LENARTH GABRIEL VERMAAS,INSTITUTO DE ENGENHARIA DE SISTEMAS E TECNOLOGIA DA INFORMAÇÃO,15/03/24,12/07/24,PENDENTE,"R$0,00",
PJ156-2024,ITAJUBASAT – CRIANDO SABERES E COMPETÊNCIAS NO DESENVOLVIMENTO TECNOLÓGICO E INOVAÇÃO EM NANOSSATÉLITES E SUAS CAPACIDADES,GABRIEL RODRIGUES HICKEL,COORDENAÇÃO DE CURSO DE GRADUAÇÃO - FÍSICA BACHARELADO,22/04/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$12.148,00",
PJ157-2024,Encontro Regional de Engenharia e Desenvolvimento Social: Engenharia Popular - Uma pedra no caminho do subdesenvolvimento,LEONARDO FERREIRA REIS,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,23/07/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$0,00",
PJ158-2024,Centrais Termelétricas: Fundamentos e operação 2024,CHRISTIAN JEREMI CORONADO RODRIGUEZ,INSTITUTO DE ENGENHARIA MECÂNICA,20/05/24,31/07/24,ATIVIDADE EM EXECUÇÃO,"R$34.210,00",
PJ159-2024,Desenvolvimento de Software Desktop e Mobile para cliente Diego Jhonata,KLEBER ROBERTO DA SILVA SANTOS,INSTITUTO DE ENGENHARIA DE SISTEMAS E TECNOLOGIA DA INFORMAÇÃO,22/05/24,17/08/24,ATIVIDADE EM EXECUÇÃO,"R$0,00",
PJ160-2024,"“Estudos especializados com vistas a aperfeiçoar  a modelagem de carga e da MMGD utilizada em estudos elétricos, considerando as  características atuais do SIN – Projeto Modelagem de Carga do SIN",ANTONIO CARLOS ZAMBRONI DE SOUZA,INSTITUTO DE SISTEMAS ELÉTRICOS E ENERGIA,24/04/24,30/04/24,PENDENTE,"R$2.000,00",
PJ161-2024,"Estudos especializados com vistas a aperfeiçoar  a modelagem de carga e da MMGD utilizada em estudos elétricos, considerando as  características atuais do SIN – Projeto Modelagem de Carga do SIN",ANTONIO CARLOS ZAMBRONI DE SOUZA,INSTITUTO DE SISTEMAS ELÉTRICOS E ENERGIA,01/05/24,30/09/24,ATIVIDADE EM EXECUÇÃO,"R$10.000,00",
PJ162-2024,Modelagem matemática de controladores (inversores de frequência) em linguagem CDU (ANATEM) e ATP (Alternative Transient Program),MAURICIO CAMPOS PASSARO,INSTITUTO DE SISTEMAS ELÉTRICOS E ENERGIA,13/05/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$90.000,00",
PJ163-2024,BrandingLab,ALEX LOPES FONSECA NANI,SECRETARIA DE COMUNICAÇÃO,26/05/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$0,00",
PJ164-2024,Diagnóstico fitossanitário dos Ingazeiros na avenida BPS em Itajubá.,HISAIAS DE SOUZA ALMEIDA,INSTITUTO DE RECURSOS NATURAIS,20/05/24,30/06/24,SIM,"R$0,00",
PJ165-2024,Campanha de doações para ONGs da Microrregião de Itajubá,WILSON CÉSAR SANT`ANA,INSTITUTO DE ENGENHARIA DE SISTEMAS E TECNOLOGIA DA INFORMAÇÃO,24/06/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$0,00",
PJ166-2024,Caracterização de Materiais (2024),DANIEL THOMAZINI,INSTITUTO DE ENGENHARIA MECÂNICA,27/05/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$20.000,00",
PJ167-2024,Desenvolvimento de Drone Autônomo para Aplicação de Revestimento em Superfícies - Projeto DAARS - Continuação até Agosto de 2024,KLEBER ROBERTO DA SILVA SANTOS,INSTITUTO DE ENGENHARIA DE SISTEMAS E TECNOLOGIA DA INFORMAÇÃO,01/06/24,31/08/24,ATIVIDADE EM EXECUÇÃO,"R$25.490,32",
PJ168-2024,Maré Verde,MARCIO TSUYOSHI YASUDA,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,27/05/24,20/12/24,ATIVIDADE EM EXECUÇÃO,"R$1.950,00",
PJ169-2024,Bateria Calangodum,JULIANO DE ALMEIDA MONTE MOR,INSTITUTO DE CIÊNCIAS TECNOLÓGICAS,10/05/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$0,00",
PJ170-2024,Projeto Pé no Futuro: Aulas Básicas sobre Tecnologia para Alunos do Ensino Médio de Escolas Públicas,THATYANA DE FARIA PIOLA SERAPHIM,INSTITUTO DE ENGENHARIA DE SISTEMAS E TECNOLOGIA DA INFORMAÇÃO,27/05/24,08/11/24,ATIVIDADE EM EXECUÇÃO,"R$0,00",
PJ171-2024,UNIFEI Jr. - Elaboração de procedimentos operacionais para o restaurante UmJahpa,FABIO FAVARETTO,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,10/06/24,15/07/24,PENDENTE,"R$0,00",
PJ172-2024,UNIFEI Jr - Criação de controle financeiro para o Bar da Pedra,FABIO FAVARETTO,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,10/06/24,15/07/24,PENDENTE,"R$0,00",
PJ173-2024,Administração Speaking  ,PHYLLIPE DE SOUZA LIMA FRANCISCO,INSTITUTO DE MATEMÁTICA E COMPUTACÃO,31/05/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$0,00",
PJ174-2024,Atomic Planner - Frontend,PHYLLIPE DE SOUZA LIMA FRANCISCO,INSTITUTO DE MATEMÁTICA E COMPUTACÃO,31/05/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$0,00",
PJ175-2024,Projeto Terra Jr.,PHYLLIPE DE SOUZA LIMA FRANCISCO,INSTITUTO DE MATEMÁTICA E COMPUTACÃO,31/05/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$0,00",
PJ176-2024,"Cabeça de Série de Um Sistema de Produção em Escala de Hidrogênio de Baixo Carbono Para Produção de Amônia e Ureia, a Partir do Biogás Obtido de Macrófitas de Reservatórios de UHE",CARLOS ROBERTO ROCHA,INSTITUTO DE RECURSOS NATURAIS,01/06/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$70.000,00",
PJ177-2024,A INFLUÊNCIA DOS GÊNEROS MULTIMODAIS E SEUS IMPACTOS NA SOCIEDADE: UMA ANÁLISE FUNDAMENTADA NO USO DE TIRAS E QUADRINHOS,ANTONIO CARLOS ZAMBRONI DE SOUZA,INSTITUTO DE SISTEMAS ELÉTRICOS E ENERGIA,06/06/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$6,00",
PJ178-2024,Projeto de um Sistema de Automação de Testes de Eficiência Energética em Ar Condicionados,LUIZ EDIVAL DE SOUZA,INSTITUTO DE ENGENHARIA DE SISTEMAS E TECNOLOGIA DA INFORMAÇÃO,06/06/24,21/09/24,ATIVIDADE EM EXECUÇÃO,"R$0,00",
PJ179-2024,Podcast Saberes e Prosa: diálogos entre o popular e o científico.,DANIELA ROCHA TEIXEIRA RIONDET COSTA,INSTITUTO DE RECURSOS NATURAIS,01/08/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$0,00",
PJ180-2024,ELABORAÇÃO DE ESTUDO TÉCNICO/ECONÔMICO PARA AVALIAÇÃO DA DEMANDA  ENERGÉTICA NA AGRICULTURA IRRIGADA PARA APOIO NA CONDUÇÃO DE POLÍTICAS  PÚBLICAS DO PLANEJAMENTO SETORIAL Á SER EXECUTADO CONFORME RESOLUÇÃO  CEPEAD 166/2020.,ANA PAULA MONI SILVA,INSTITUTO DE RECURSOS NATURAIS,11/06/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$83.898,31",
PJ181-2024,"“Pesquisa, Desenvolvimento e Otimização de Protótipos de Rotores Fabricados via   Impressão 3D",MATHEUS BRENDON FRANCISCO,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,18/06/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$8.000,00",
PJ182-2024,"Educação ambiental, Agricultura Responsável e Preservação do Meio Ambiente   para um futuro verde",DANIEL CLEMENTE VIEIRA REGO DA SILVA,INSTITUTO DE RECURSOS NATURAIS,01/07/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$0,00",
PJ183-2024,BCTec HUB,ALAN ARAUJO FREITAS,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,20/06/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$0,00",
PJ184-2024,Sensibilização de crianças do 4° ano do Ensino Fundamental sobre a importância do consumo sustentável,DANIELA ROCHA TEIXEIRA RIONDET COSTA,INSTITUTO DE RECURSOS NATURAIS,26/06/24,13/07/24,PENDENTE,"R$0,00",
PJ185-2024,Sensibilização ambiental acerca da importância da mata ciliar,DANIELA ROCHA TEIXEIRA RIONDET COSTA,INSTITUTO DE RECURSOS NATURAIS,26/06/24,13/07/24,PENDENTE,"R$0,00",
PJ186-2024,Arborização de Itajubá,DANIELA ROCHA TEIXEIRA RIONDET COSTA,INSTITUTO DE RECURSOS NATURAIS,26/06/24,13/07/24,PENDENTE,"R$0,00",
PJ187-2024,ReVisão,DANIELA ROCHA TEIXEIRA RIONDET COSTA,INSTITUTO DE RECURSOS NATURAIS,26/06/24,13/07/24,PENDENTE,"R$0,00",
PJ188-2024,ReCiclo: Transformando resíduos em oportunidades,DANIELA ROCHA TEIXEIRA RIONDET COSTA,INSTITUTO DE RECURSOS NATURAIS,26/06/24,13/07/24,PENDENTE,"R$0,00",
PJ189-2024,Clube Das Coisas Finas,ANA PAULA SILVA FIGUEIREDO,INSTITUTO DE RECURSOS NATURAIS,28/06/24,07/12/24,ATIVIDADE EM EXECUÇÃO,"R$0,00",
PJ190-2024,"Alegrai-vos: convivência, espiritualidade e formação de liderança    ",CLEIDE BEATRIZ GOMES DOS REIS,DIRETORIA DO CAMPUS DE ITABIRA,10/07/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$0,00",
PJ191-2024,Boletins mensais informativos do monitoramento da qualidade do ar em Itabira/MG (Fluxo Contínuo - Renovação 2ºsem2024),ANA CAROLINA VASQUES FREITAS,INSTITUTO DE CIÊNCIAS PURAS E APLICADAS,01/08/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$0,00",
PJ192-2024,Implantação de processo de Planejamento e Controle da Produção em uma empresa de equipamentos de liofilização,FABIO FAVARETTO,INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO,05/08/24,22/11/24,ATIVIDADE EM EXECUÇÃO,"R$0,00",
PJ193-2024,Implantação do sistema de monitoramento hidráulico/hidrológico do Ribeirão José  Pereira,ALEXANDRE AUGUSTO BARBOSA,INSTITUTO DE RECURSOS NATURAIS,11/07/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$0,00",
PJ194-2024,Centro de Empreendedorismo UNIFEI - Campus Itabira 2024,GIOVANI BERNARDES VITOR,INSTITUTO DE CIÊNCIAS TECNOLÓGICAS,01/08/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$0,00",
PS001-2024,Ensaio em BFT funcionando como Turbina,OSWALDO HONORATO DE SOUZA JUNIOR,INSTITUTO DE RECURSOS NATURAIS,31/01/24,29/02/24,SIM,"R$9.450,00","R$9.450,00"
PS002-2024,Estudo e elaboração de processos de autorização de beneficiários com TEA do Plano de Saúde CEAM Brasil,GUILHERME SOUSA BASTOS,INSTITUTO DE ENGENHARIA DE SISTEMAS E TECNOLOGIA DA INFORMAÇÃO,08/04/24,07/09/24,ATIVIDADE EM EXECUÇÃO,"R$16.000,00",
PS003-2024,ENSAIOS EM BOMBAS BFT E/0U TURBINAS PARA LEVANTAMENTO DE CARACTERÍSTICAS,OSWALDO HONORATO DE SOUZA JUNIOR,INSTITUTO DE RECURSOS NATURAIS,14/04/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$31.500,00",
PS004-2024,Consultation in Materials for the Electricity Industry,DANIEL THOMAZINI,INSTITUTO DE ENGENHARIA MECÂNICA,27/05/24,28/05/24,SIM,"R$769,39","R$769,39"
PS005-2024,Processamento de materiais poliméricos,MARIA VIRGINIA GELFUSO,INSTITUTO DE ENGENHARIA MECÂNICA,16/06/24,31/12/24,ATIVIDADE EM EXECUÇÃO,"R$13.200,00",
