Código,Título do Projeto,Início,Término,Status,Financiador,Recursos Externos ,Equipe,Instituto Vinculado,Função (Discente/ Coordenador/Docente)
PIDI438-2023,Revestimento de ligas a base de molibdênio com camadas de alta resistência à oxidação obtidas por HAPC (Halide Activated Pack Cementation),1/11/2023,31/10/2026,Vigente,,,MARCIA REGINA BALDISSERA RODRIGUES,IRN,Coordenador
PVDI434-2023,Análise das características sinóticas do ciclone Yakecan,1/11/2023,31/10/2026,Vigente,,,MICHELLE SIMOES REBOITA,IRN,Coordenador
PVDI436-2023,"FERRAMENTAS COMPUTACIONAIS PARA MODELAGEM, SIMULAÇÃO E ANÁLISE DE DADOS NA ENGENHARIA DE BIOPROCESSOS",1/11/2023,31/10/2026,Vigente,,,GUILHERME YOUSSEF RODRIGUEZ,IRN,Coordenador
PVDI445-2023,"Análise multitemporal do uso e ocupação do solo na microbacia hidrográfica do ribeirão José Pereira, no município de Itajubá (MG)",1/11/2023,31/10/2026,Vigente,,,NIVEA ADRIANA DIAS PONS,IRN,Coordenador
PVDI416-2023,Estudo de vulnerabilidades e aplicação de WASM,1/11/2023,31/10/2026,Vigente,,,BRUNO TARDIOLE KUEHNE,IESTI,Coordenador
PVDI442-2023,Desenvolvimento de Dispositivo Centralizado de Proteção e Controle para uma Subestação 4.0 – CPC-Unifei,1/11/2023,31/10/2026,Vigente,,,CARLOS ALBERTO VILLEGAS GUERRERO,ISEE,Coordenador
PVDI443-2023,Eletromobilidade urbana: impacto da tecnologia de recarga dinâmica de veículos elétricos nas redes de distribuição elétrica de centros urbanos,1/11/2023,31/10/2026,Vigente,,,ELIANE VALENCA NASCIMENTO DE LORENCI,ISEE,Coordenador
PIDI418-2023,Fabricação de eletrodos de silício nanoestruturado para uso em baterias de lítio e sódio,1/11/2023,31/10/2026,Vigente,,,DANILO ROQUE HUANCA,IFQ,Coordenador
PVDI441-2023,Estudos da geração de energia à partir do tratamento de resíduos por acoplamento de diferentes processos,1/11/2023,31/10/2026,Vigente,,,MILADY RENATA APOLINARIO DA SILVA,IFQ,Coordenador
PVDI425-2023,MICROPLÁSTICOS COMO VETORES DE TRANPORTE DE CONTAMINANTES EMERGENTES NO RESERVATÓRIO DE FURNAS (MG) ,1/11/2023,31/10/2026,Vigente,,,SANDRO JOSE DE ANDRADE,IFQ,Coordenador
PVDI414-2023,A utilização de experimentos controlados remotamente no Ensino de Ciências: um levantamento das principais demandas formativas dos docentes ,1/11/2023,31/10/2026,Vigente,,,THIAGO COSTA CAETANO,IFQ,Coordenador
PVDI455-2022,Caracterização de propriedades térmicas dos óxidos precursores e crescimento de monocristais conversores de energia através da técnica Bridgman-Stockbarger,1/3/2022,28/2/2025,Vigente,CNPq,"R$ 35.000,00",MARIA VIRGINIA GELFUSO,IEM,Coordenador Local
PVDI457-2023,Novos protótipos pirazólicos e inibidores de FAK como estratégias para o tratamento da doença de Chagas,2/12/2023,31/12/2026,Vigente,CNPq,"R$ 176.000,00",MAURICIO SILVA DOS SANTOS,IFQ,Coordenador Local
PVDI458-2023,"MAPEAMENTO DO POTENCIAL TÉCNICO, ECONÔMICO E AMBIENTAL DE ALTERNATIVAS PARA DESCARBONIZAÇÃO DO SETOR INDUSTRIAL MINEIRO ATRAVÉS DO USO DE HIDROGÊNIO RENOVÁVEL E/OU GÁS NATURAL SINTÉTICO”",8/8/2023,31/12/2026,Vigente,FAPEMIG,"R$ 232.617,60",OSVALDO JOSE VENTURINI,IEM,Coordenador
PVDI459-2023,Dinâmica e controlabilidade em problemas de reação e difusão dos tipos mono-estável e bi-estável,1/4/2023,31/3/2026,Vigente,CNPq,"R$39.600,00",MAICON SONEGO,IMC,Coordenador
PIDI460-2023,Desenvolvimento e otimização de um sistema catalítico heterogêneo para a produção contínua de fruto-oligossacarídeos utilizando impressão 3D e fluidodinâmica computacional.,23/11/2023,22/11/2026,Vigente,CNPq,"R$ 115.500,00",MAXIMILIAN JOACHIM HODAPP,IRN,Coordenador Local
PVDI461-2023,DESENVOLVIMENTO DE MATERIAIS E DISPOSITIVOS TERMOELÉTRICOS PARA RECICLAGEM DE ENERGIA,1/9/2023,1/9/2025,Vigente,FAPEMIG,"R$ 177.188,80",MARIA VIRGINIA GELFUSO,IEM,Coordenador Local
PVDI462-2023,Desenvolvimento de uma Base de Dados Termodinâmica para Ligas Multicomponentes do Sistema V-Zr-Nb-Hf-Cr,23/11/2023,22/11/2026,Vigente,CNPq,"R$ 35.000,00",ANTONIO AUGUSTO ARAUJO PINTO DA SILVA,IEM,Coordenador
